,VEIC,DTHR,COD_LINHA,coords,nearest,idx,distances
696529,BL300,2023-05-02 21:39:16-03:00,022,"(-25.461916, -49.29089)","[-25.461933933397514, -49.29082306149516]",0.6636455186304129,7.018985917672981
696530,BL300,2023-05-02 21:39:11-03:00,022,"(-25.461993, -49.290331)","[-25.462033836775912, -49.29032339778962]",0.6626384692849949,4.588040905843363
696531,BL300,2023-05-02 21:39:01-03:00,022,"(-25.461991, -49.28942)","[-25.46208572415577, -49.28944705492813]",0.6596173212487412,10.840540614961443
696532,BL300,2023-05-02 21:38:56-03:00,022,"(-25.462105, -49.28903)","[-25.462302927893877, -49.28883724234527]",0.6586102719033232,29.2671210302573
696533,BL300,2023-05-02 21:38:51-03:00,022,"(-25.462285, -49.288803)","[-25.462302927893877, -49.28883724234527]",0.6586102719033232,3.9753750951968954
696534,BL300,2023-05-02 21:38:46-03:00,022,"(-25.462573, -49.288885)","[-25.462569184933695, -49.28894727761701]",0.6576032225579054,6.277431973987264
696535,BL300,2023-05-02 21:38:26-03:00,022,"(-25.464886, -49.290001)","[-25.464946731369373, -49.290096447452925]",0.6535750251762337,11.721837774103575
696536,BL300,2023-05-02 21:38:21-03:00,022,"(-25.465568, -49.290336)","[-25.46550845137752, -49.29033121625743]",0.649546827794562,6.614307094035906
696537,BL300,2023-05-02 21:38:16-03:00,022,"(-25.46627, -49.290428)","[-25.466355245775603, -49.29044973070586]",0.6445115810674723,9.693081196862552
696538,BL300,2023-05-02 21:38:11-03:00,022,"(-25.46689, -49.290236)","[-25.466903789052243, -49.29028496801687]",0.6394763343403826,5.155960168175766
696539,BL300,2023-05-02 21:38:06-03:00,022,"(-25.467501, -49.289866)","[-25.467551841759935, -49.28995471964988]",0.6354481369587109,10.551089328143746
696540,BL300,2023-05-02 21:37:46-03:00,022,"(-25.469905, -49.290558)","[-25.46980393179637, -49.290557633462754]",0.6263846928499497,11.196389227957244
696541,BL300,2023-05-02 21:37:41-03:00,022,"(-25.47057, -49.290855)","[-25.47045480123188, -49.29084250583276]",0.6243705941591138,12.823414338143357
696542,BL300,2023-05-02 21:37:36-03:00,022,"(-25.471296, -49.291031)","[-25.47125556561728, -49.29109682822434]",0.6203423967774421,7.992869138238141
696543,BL300,2023-05-02 21:37:21-03:00,022,"(-25.47337, -49.29037)","[-25.47330236024503, -49.29043236033738]",0.6122860020140987,9.77096830596776
696544,BL300,2023-05-02 21:37:16-03:00,022,"(-25.473948, -49.290078)","[-25.474104376814715, -49.29005961621841]",0.6102719033232629,17.421782726940975
